	roll	pitch	yaw	gx	gy	gz	ax	ay	az		diff x	diff y	diff z			
65	-0.3	0.5	29.2	-8	-5.23	999.95	-9.28	-7.32	1003.19		-1.28	-2.09	3.24			
66	-0.3	0.5	29.2	-8.12	-5.3	999.95	-4.88	-3.42	1000.02		3.24	1.88	0.07			
67	-0.3	0.5	29.2	-8.16	-5.25	999.95	-8.79	-7.81	998.8		-0.63	-2.56	-1.15			
68	-0.3	0.5	29.2	-8.16	-5.25	999.95	-8.79	-7.81	998.8		-0.63	-2.56	-1.15			
69	-0.3	0.5	29.2	-8.14	-5.24	999.95	-8.79	-3.17	1001.73		-0.65	2.07	1.78			
70	-0.3	0.5	29.2	-8.14	-5.24	999.95	-8.79	-3.17	1001.73		-0.65	2.07	1.78			
71	-0.3	0.5	29.2	-8.14	-5.24	999.95	-1.95	-6.35	1001		6.19	-1.11	1.05			
72	-0.3	0.5	29.2	-8.23	-5.25	999.95	-9.03	-6.35	1003.44		-0.8	-1.1	3.49			
73	-0.3	0.5	29.2	-8.41	-5.17	999.95	-9.03	-6.35	1003.44		-0.62	-1.18	3.49			
74	-0.3	0.5	29.2	-8.41	-5.17	999.95	-11.96	-6.84	1004.9		-3.55	-1.67	4.95			
75	-0.3	0.5	29.2	-8.38	-5.13	999.95	-10.99	-4.88	1008.08		-2.61	0.25	8.13			
76	-0.3	0.5	29.2	-8.38	-5.13	999.95	-10.99	-4.88	1008.08		-2.61	0.25	8.13			
77	-0.3	0.5	29.2	-8.18	-5.06	999.95	-10.5	-2.69	1001.24		-2.32	2.37	1.29			
78	-0.3	0.5	29.2	-8.19	-5.05	999.95	-10.5	-2.69	1001.24		-2.31	2.36	1.29			
79	-0.3	0.5	29.2	-8.19	-5.05	999.95	-12.45	-7.57	1001.73		-4.26	-2.52	1.78			
80	-0.3	0.5	29.2	-8.16	-5.03	999.95	-10.25	-0.49	1001.73		-2.09	4.54	1.78			
81	-0.3	0.5	29.2	-8.16	-5.03	999.95	-10.25	-0.49	1001.73		-2.09	4.54	1.78			
82	-0.3	0.5	29.2	-8.16	-5.03	999.95	-8.79	-7.08	1005.63		-0.63	-2.05	5.68			
83	-0.3	0.5	29.2	-8.24	-5.13	999.95	-9.77	-4.88	1003.44		-1.53	0.25	3.49			
84	-0.3	0.5	29.1	-8.23	-5.15	999.95	-9.77	-4.88	1003.44		-1.54	0.27	3.49			
85	-0.3	0.5	29.1	-8.22	-5.12	999.95	-9.03	-8.06	1004.9		-0.81	-2.94	4.95			
86	-0.3	0.5	29.1	-8.22	-5.12	999.95	-9.03	-8.06	1004.9		-0.81	-2.94	4.95			
87	-0.3	0.5	29.1	-8.22	-5.12	999.95	-9.03	-4.64	1006.37		-0.81	0.48	6.42			
88	-0.3	0.5	29.1	-8.32	-5.08	999.95	-7.81	-2.93	1003.68		0.51	2.15	3.73			
89	-0.3	0.5	29.1	-8.32	-5.08	999.95	-7.81	-2.93	1003.68		0.51	2.15	3.73			
90	-0.3	0.5	29.1	-8.31	-5.1	999.95	-6.59	-6.1	1005.88		1.72	-1	5.93			
91	-0.3	0.5	29.1	-8.31	-5.11	999.95	-9.77	-4.39	1003.44		-1.46	0.72	3.49			
92	-0.3	0.5	29.1	-8.31	-5.11	999.95	-9.77	-4.39	1003.44		-1.46	0.72	3.49			
93	-0.3	0.5	29.2	-8.22	-5.07	999.95	-5.86	2.93	1005.15		2.36	8	5.2			
94	-0.3	0.5	29.2	-8.22	-5.07	999.95	-5.86	2.93	1005.15		2.36	8	5.2			
95	-0.3	0.5	29.2	-8.22	-5.07	999.95	-10.74	-5.62	999.29		-2.52	-0.55	-0.66			
96	-0.3	0.5	29.1	-8.25	-5.06	999.95	-3.91	-4.88	1000.51		4.34	0.18	0.56			
97	-0.3	0.5	29.1	-8.31	-5.14	999.95	-3.91	-4.88	1000.51		4.4	0.26	0.56			
98	-0.3	0.5	29.1	-8.31	-5.14	999.95	-12.7	-6.35	1001.24		-4.39	-1.21	1.29			
99	-0.3	0.5	29.1	-8.33	-4.95	999.95	-9.28	-7.32	1005.63		-0.95	-2.37	5.68			
100	-0.3	0.5	29.1	-8.33	-4.95	999.95	-9.28	-7.32	1005.63		-0.95	-2.37	5.68			
101	-0.3	0.5	29.1	-8.32	-4.93	999.95	-7.57	-6.84	1004.66		0.75	-1.91	4.71			
102	-0.3	0.5	29.1	-8.28	-4.94	999.95	-2.93	-2.93	1004.66		5.35	2.01	4.71			
103	-0.3	0.5	29.1	-8.28	-4.94	999.95	-2.93	-2.93	1004.66		5.35	2.01	4.71			
104	-0.3	0.5	29.1	-8.28	-4.96	999.95	-8.54	-6.59	1004.9		-0.26	-1.63	4.95			
105	-0.3	0.5	29.1	-8.28	-4.96	999.95	-8.54	-6.59	1004.9		-0.26	-1.63	4.95			
106	-0.3	0.5	29.1	-8.28	-4.96	999.95	-3.66	0.24	1007.83		4.62	5.2	7.88			
107	-0.3	0.5	29.1	-8.26	-5	999.95	-11.23	-8.06	1001.97		-2.97	-3.06	2.02			
108	-0.3	0.5	29.1	-8.27	-5.06	999.95	-11.23	-8.06	1001.97		-2.96	-3	2.02			
109	-0.3	0.5	29.1	-8.27	-5.06	999.95	-9.77	-5.62	1002.71		-1.5	-0.56	2.76			
110	-0.3	0.5	29.1	-8.22	-5.06	999.95	-9.77	-6.35	1002.22		-1.55	-1.29	2.27			
111	-0.3	0.5	29.1	-8.22	-5.06	999.95	-9.77	-6.35	1002.22		-1.55	-1.29	2.27			
112	-0.3	0.5	29.1	-8.09	-5.11	999.95	-4.39	-0.98	1002.46		3.7	4.13	2.51			
113	-0.3	0.5	29.1	-8.09	-5.11	999.95	-4.39	-0.98	1002.46		3.7	4.13	2.51			
114	-0.3	0.5	29.1	-8.13	-5.3	999.95	-10.5	-3.66	1007.83		-2.37	1.64	7.88			
115	-0.3	0.5	29.1	-8.14	-5.28	999.95	-6.84	-11.47	1002.95		1.3	-6.19	3			
116	-0.3	0.5	29.1	-8.14	-5.28	999.95	-6.84	-11.47	1002.95		1.3	-6.19	3			
117	-0.3	0.5	29.1	-8.14	-5.28	999.95	-12.7	-0.49	1001.73		-4.56	4.79	1.78			
118	-0.3	0.5	29.1	-8.06	-5.23	999.95	-10.5	-10.25	1005.63		-2.44	-5.02	5.68			
119	-0.3	0.5	29.1	-8.06	-5.23	999.95	-10.5	-10.25	1005.63		-2.44	-5.02	5.68			
120	-0.3	0.5	29.1	-8.06	-5.26	999.95	-7.08	-7.81	1000.75		0.98	-2.55	0.8			
121	-0.3	0.5	29.1	-8.08	-5.33	999.95	-7.08	-7.81	1000.75		1	-2.48	0.8			
122	-0.3	0.5	29.1	-8.08	-5.33	999.95	-16.85	-0.73	1005.88		-8.77	4.6	5.93			
123	-0.3	0.5	29.1	-8.05	-5.32	999.95	-9.03	-3.42	1000.51		-0.98	1.9	0.56			
124	-0.3	0.5	29.1	-8.05	-5.32	999.95	-9.03	-3.42	1000.51		-0.98	1.9	0.56			
125	-0.3	0.5	29.1	-8.05	-5.32	999.95	-8.54	-5.62	998.55		-0.49	-0.3	-1.4			
126	-0.3	0.5	29.1	-8.03	-5.25	999.95	-1.71	0.24	997.09		6.32	5.49	-2.86			
127	-0.3	0.5	29.1	-8.13	-5.17	999.95	-1.71	0.24	997.09		6.42	5.41	-2.86			
128	-0.3	0.5	29.1	-8.14	-5.14	999.95	-10.74	-9.52	1004.17		-2.6	-4.38	4.22			
129	-0.3	0.5	29.1	-8.14	-5.14	999.95	-10.74	-9.52	1004.17		-2.6	-4.38	4.22			
130	-0.3	0.5	29.1	-8.14	-5.14	999.95	-12.21	-3.66	1000.26		-4.07	1.48	0.31			
131	-0.3	0.5	29.1	-8.25	-5.15	999.95	-6.59	-4.64	1003.19		1.66	0.51	3.24			
132	-0.3	0.5	29.1	-8.41	-5.12	999.95	-6.59	-4.64	1003.19		1.82	0.48	3.24			
133	-0.3	0.5	29.1	-8.41	-5.12	999.95	-11.96	-7.57	1006.86		-3.55	-2.45	6.91			
134	-0.3	0.5	29.1	-8.43	-5.13	999.95	-5.62	-2.93	1005.88		2.81	2.2	5.93			
135	-0.3	0.5	29.1	-8.43	-5.13	999.95	-5.62	-2.93	1005.88		2.81	2.2	5.93			
136	-0.3	0.5	29.1	-8.46	-5.06	999.95	-10.25	-0.73	1001.48		-1.79	4.33	1.53			
137	-0.3	0.5	29.1	-8.46	-5.06	999.95	-10.25	-0.73	1001.48		-1.79	4.33	1.53			
138	-0.3	0.5	29.1	-8.44	-5.02	999.95	-11.23	-7.32	1001.24		-2.79	-2.3	1.29			
139	-0.3	0.5	29.1	-8.45	-5.17	999.95	-8.3	-3.42	1004.9		0.15	1.75	4.95			
140	-0.3	0.5	29.1	-8.45	-5.17	999.95	-8.3	-3.42	1004.9		0.15	1.75	4.95			
141	-0.3	0.5	29.1	-8.45	-5.17	999.95	-7.57	-3.17	999.78		0.88	2	-0.17			
142	-0.3	0.5	29.1	-8.43	-5.14	999.95	-8.79	-2.44	1008.56		-0.36	2.7	8.61			
143	-0.3	0.5	29.1	-8.43	-5.14	999.95	-8.79	-2.44	1008.56		-0.36	2.7	8.61			
144	-0.3	0.5	29.1	-8.44	-5.16	999.95	-8.54	-2.44	999.78		-0.1	2.72	-0.17			
145	-0.3	0.5	29.1	-8.49	-5.13	999.95	-8.54	-2.44	999.78		-0.05	2.69	-0.17			
146	-0.3	0.5	29.1	-8.49	-5.13	999.95	-7.81	-10.01	1007.83		0.68	-4.88	7.88			
147	-0.3	0.5	29.1	-8.59	-5.16	999.95	-6.1	-4.39	1003.44		2.49	0.77	3.49			
148	-0.3	0.5	29.1	-8.59	-5.16	999.95	-6.1	-4.39	1003.44		2.49	0.77	3.49			
149	-0.3	0.5	29.1	-8.62	-5.16	999.95	-10.25	-3.17	1002.46		-1.63	1.99	2.51			
150	-0.3	0.5	29.1	-8.65	-5.17	999.95	-7.08	-5.37	1006.86		1.57	-0.2	6.91			
151	-0.3	0.5	29.1	-8.65	-5.17	999.95	-7.08	-5.37	1006.86		1.57	-0.2	6.91			
152	-0.3	0.5	29.1	-8.65	-5.17	999.95	-12.21	-5.37	1005.63		-3.56	-0.2	5.68			
153	-0.3	0.5	29.1	-8.65	-5.12	999.95	-7.57	-1.22	1007.1		1.08	3.9	7.15			
154	-0.3	0.5	29.1	-8.65	-5.12	999.95	-7.57	-1.22	1007.1		1.08	3.9	7.15			
155	-0.3	0.5	29.1	-8.66	-5.01	999.95	-11.96	-8.06	1007.1		-3.3	-3.05	7.15			
156	-0.3	0.5	29.1	-8.65	-5	999.95	-11.96	-8.06	1007.1		-3.31	-3.06	7.15			
157	-0.3	0.5	29.1	-8.65	-5	999.95	-9.03	-11.72	1007.34		-0.38	-6.72	7.39			
158	-0.3	0.5	29.2	-8.62	-4.95	999.95	-10.25	-3.66	1007.1		-1.63	1.29	7.15			
159	-0.3	0.5	29.2	-8.62	-4.95	999.95	-10.25	-3.66	1007.1		-1.63	1.29	7.15			
160	-0.3	0.5	29.1	-8.66	-4.87	999.95	-8.3	-3.42	1006.12		0.36	1.45	6.17			
161	-0.3	0.5	29.1	-8.66	-4.87	999.95	-8.3	-3.42	1006.12		0.36	1.45	6.17			
162	-0.3	0.5	29.1	-8.63	-4.91	999.95	-5.86	-4.39	1009.05		2.77	0.52	9.1			
163	-0.3	0.5	29.1	-8.54	-4.82	999.95	-8.3	-5.37	1000.02		0.24	-0.55	0.07			
164	-0.3	0.5	29.1	-8.54	-4.82	999.95	-8.3	-5.37	1000.02		0.24	-0.55	0.07			
165	-0.3	0.5	29.1	-8.54	-4.82	999.95	-7.81	-1.22	1011.25		0.73	3.6	11.3			
166	-0.3	0.5	29.1	-8.55	-4.79	999.95	-13.43	-3.17	1004.17		-4.88	1.62	4.22			
167	-0.3	0.5	29.1	-8.55	-4.79	999.95	-13.43	-3.17	1004.17		-4.88	1.62	4.22			
168	-0.3	0.5	29.1	-8.52	-4.79	999.95	-2.69	-0.73	1003.93		5.83	4.06	3.98			
169	-0.3	0.5	29.1	-8.55	-4.78	999.95	-2.69	-0.73	1003.93		5.86	4.05	3.98			
170	-0.3	0.5	29.1	-8.55	-4.78	999.95	-9.77	-4.64	1004.41		-1.22	0.14	4.46			
171	-0.3	0.5	29.1	-8.53	-4.81	999.95	-6.84	-5.13	1000.26		1.69	-0.32	0.31			
172	-0.3	0.5	29.1	-8.53	-4.81	999.95	-6.84	-5.13	1000.26		1.69	-0.32	0.31			
173	-0.3	0.5	29.1	-8.53	-4.81	999.95	-6.1	-9.77	1005.39		2.43	-4.96	5.44			
174	-0.3	0.5	29.2	-8.48	-4.77	999.95	-5.86	-5.86	1002.71		2.62	-1.09	2.76			
175	-0.3	0.5	29.2	-8.24	-4.82	999.95	-5.86	-5.86	1002.71		2.38	-1.04	2.76			
176	-0.3	0.5	29.2	-8.24	-4.82	999.95	-10.74	-3.91	1000.75		-2.5	0.91	0.8			
177	-0.3	0.5	29.2	-8.23	-4.83	999.95	-10.99	-8.54	1004.17		-2.76	-3.71	4.22			
178	-0.3	0.5	29.2	-8.23	-4.83	999.95	-10.99	-8.54	1004.17		-2.76	-3.71	4.22			
179	-0.3	0.5	29.2	-8.18	-4.82	999.95	-14.4	-6.35	1005.63		-6.22	-1.53	5.68			
180	-0.3	0.5	29.1	-8.19	-4.82	999.95	-14.4	-6.35	1005.63		-6.21	-1.53	5.68			
181	-0.3	0.5	29.1	-8.19	-4.82	999.95	-4.39	-0.98	1001.48		3.8	3.84	1.53			
182	-0.3	0.5	29.1	-8.19	-4.86	999.95	-12.7	-8.06	1004.9		-4.51	-3.2	4.95			
183	-0.3	0.5	29.1	-8.19	-4.86	999.95	-12.7	-8.06	1004.9		-4.51	-3.2	4.95			
184	-0.3	0.5	29.2	-8.18	-4.84	999.95	-12.7	-6.84	1000.75		-4.52	-2	0.8			
185	-0.3	0.5	29.2	-8.18	-4.84	999.95	-12.7	-6.84	1000.75		-4.52	-2	0.8			
186	-0.3	0.5	29.1	-8.15	-4.8	999.96	-8.54	-5.37	1004.9		-0.39	-0.57	4.94			
187	-0.3	0.5	29.1	-8.16	-4.93	999.95	-5.13	-4.39	1008.08		3.03	0.54	8.13			
188	-0.3	0.5	29.1	-8.16	-4.93	999.95	-5.13	-4.39	1008.08		3.03	0.54	8.13			
189	-0.3	0.5	29.1	-8.16	-4.93	999.95	-7.81	-6.84	1003.68		0.35	-1.91	3.73			
190	-0.3	0.5	29.1	-8.03	-4.89	999.96	-10.99	-3.42	1011.25		-2.96	1.47	11.29			
191	-0.3	0.5	29.1	-8.03	-4.89	999.96	-10.99	-3.42	1011.25		-2.96	1.47	11.29			
192	-0.3	0.5	29.1	-8.08	-5.05	999.95	-11.47	-2.2	1007.34		-3.39	2.85	7.39			
193	-0.3	0.5	29.1	-8.06	-5.03	999.95	-11.47	-2.2	1007.34		-3.41	2.83	7.39			
194	-0.3	0.5	29.1	-8.06	-5.03	999.95	-1.95	-8.54	1004.41		6.11	-3.51	4.46			
195	-0.3	0.5	29.2	-8.04	-5.05	999.95	-8.3	-0.73	1004.41		-0.26	4.32	4.46			
196	-0.3	0.5	29.2	-8.04	-5.05	999.95	-8.3	-0.73	1004.41		-0.26	4.32	4.46			
197	-0.3	0.5	29.2	-8.04	-5.05	999.95	-10.99	-0.49	1005.88		-2.95	4.56	5.93			
198	-0.3	0.5	29.2	-8.2	-5.06	999.95	-8.54	-5.86	1000.75		-0.34	-0.8	0.8			
199	-0.3	0.5	29.2	-8.21	-5.19	999.95	-8.54	-5.86	1000.75		-0.33	-0.67	0.8			
200	-0.3	0.5	29.2	-8.2	-5.2	999.95	-11.72	-7.32	1003.44		-3.52	-2.12	3.49			
201	-0.3	0.5	29.2	-8.2	-5.2	999.95	-11.72	-7.32	1003.44		-3.52	-2.12	3.49			
202	-0.3	0.5	29.2	-8.2	-5.2	999.95	-10.5	-6.59	1004.17		-2.3	-1.39	4.22			
203	-0.3	0.5	29.2	-8.16	-5.21	999.95	-13.92	-8.54	1004.9		-5.76	-3.33	4.95			
204	-0.3	0.5	29.2	-8.19	-5.12	999.95	-13.92	-8.54	1004.9		-5.73	-3.42	4.95			
205	-0.3	0.5	29.2	-8.19	-5.12	999.95	-7.57	-10.99	1004.9		0.62	-5.87	4.95			
206	-0.3	0.5	29.2	-8.07	-5.11	999.95	-17.09	-6.1	1004.17		-9.02	-0.99	4.22			
207	-0.3	0.5	29.2	-8.07	-5.11	999.95	-17.09	-6.1	1004.17		-9.02	-0.99	4.22			
208	-0.3	0.5	29.2	-8.08	-5.09	999.95	-12.45	-0.73	1008.56		-4.37	4.36	8.61			
209	-0.3	0.5	29.2	-8.08	-5.09	999.95	-12.45	-0.73	1008.56		-4.37	4.36	8.61			
210	-0.3	0.5	29.2	-8.08	-5.07	999.95	-0.98	-7.32	1003.19		7.1	-2.25	3.24			
211	-0.3	0.4	29.2	-7.85	-5.1	999.96	-9.03	0.49	1002.46		-1.18	5.59	2.5			
212	-0.3	0.4	29.2	-7.85	-5.1	999.96	-9.03	0.49	1002.46		-1.18	5.59	2.5			
213	-0.3	0.4	29.2	-7.85	-5.1	999.96	-6.59	0.49	1003.44		1.26	5.59	3.48			
214	-0.3	0.4	29.2	-7.85	-5.12	999.96	-14.16	-4.15	1000.26		-6.31	0.97	0.3			
215	-0.3	0.5	29.2	-7.88	-5.16	999.96	-14.16	-4.15	1000.26		-6.28	1.01	0.3			
216	-0.3	0.4	29.2	-7.85	-5.16	999.96	-10.5	-5.62	1001.73		-2.65	-0.46	1.77			
217	-0.3	0.4	29.2	-7.85	-5.16	999.96	-10.5	-5.62	1001.73		-2.65	-0.46	1.77			
218	-0.3	0.4	29.2	-7.85	-5.16	999.96	-4.64	-6.84	1002.95		3.21	-1.68	2.99			
219	-0.3	0.4	29.2	-7.73	-5.23	999.96	-8.79	-5.86	1011.74		-1.06	-0.63	11.78			
220	-0.3	0.4	29.2	-7.73	-5.23	999.96	-8.79	-5.86	1011.74		-1.06	-0.63	11.78			
221	-0.3	0.4	29.2	-7.73	-5.23	999.96	-14.89	-9.28	1005.15		-7.16	-4.05	5.19			
222	-0.3	0.4	29.2	-7.75	-5.2	999.96	-9.28	-11.23	1004.66		-1.53	-6.03	4.7			
223	-0.3	0.4	29.2	-7.8	-5.27	999.96	-9.28	-11.23	1004.66		-1.48	-5.96	4.7			
224	-0.3	0.4	29.2	-7.75	-5.23	999.96	-9.03	-2.69	1002.95		-1.28	2.54	2.99			
225	-0.3	0.4	29.2	-7.75	-5.23	999.96	-9.03	-2.69	1002.95		-1.28	2.54	2.99			
226	-0.3	0.4	29.2	-7.75	-5.23	999.96	-4.64	-3.66	1007.59		3.11	1.57	7.63			
227	-0.3	0.4	29.2	-7.75	-5.22	999.96	-8.79	1.22	1006.61		-1.04	6.44	6.65			
228	-0.3	0.4	29.3	-7.7	-5.32	999.96	-8.79	1.22	1006.61		-1.09	6.54	6.65			
229	-0.3	0.4	29.3	-7.7	-5.32	999.96	-9.03	-4.39	1006.37		-1.33	0.93	6.41			
230	-0.3	0.4	29.2	-7.83	-5.3	999.96	-9.28	-5.86	1005.63		-1.45	-0.56	5.67			
231	-0.3	0.4	29.2	-7.83	-5.3	999.96	-9.28	-5.86	1005.63		-1.45	-0.56	5.67			
232	-0.3	0.4	29.2	-7.83	-5.3	999.96	-5.86	-5.86	1005.15		1.97	-0.56	5.19			
233	-0.3	0.5	29.2	-7.88	-5.3	999.95	-4.39	-3.66	1005.63		3.49	1.64	5.68			
234	-0.3	0.4	29.2	-7.84	-5.28	999.96	-4.39	-3.66	1005.63		3.45	1.62	5.67			
235	-0.3	0.5	29.2	-7.96	-5.21	999.95	-5.86	-5.86	1004.9		2.1	-0.65	4.95			
236	-0.3	0.5	29.2	-7.96	-5.21	999.95	-5.86	-5.86	1004.9		2.1	-0.65	4.95			
237	-0.3	0.5	29.2	-7.96	-5.21	999.95	-6.1	-4.39	1001.97		1.86	0.82	2.02			
238	-0.3	0.5	29.2	-8.01	-5.22	999.95	-7.81	-5.86	1007.83		0.2	-0.64	7.88			
239	-0.3	0.5	29.2	-8.01	-5.22	999.95	-7.81	-5.86	1007.83		0.2	-0.64	7.88			
240	-0.3	0.5	29.2	-8.02	-5.19	999.95	-10.5	-1.22	1001.73		-2.48	3.97	1.78			
241	-0.3	0.5	29.2	-8.04	-5.07	999.95	-7.32	-1.95	1000.26		0.72	3.12	0.31			
242	-0.3	0.5	29.2	-8.04	-5.07	999.95	-7.32	-1.95	1000.26		0.72	3.12	0.31			
243	-0.3	0.5	29.2	-8.06	-5.04	999.95	-7.32	-3.91	1001.97		0.74	1.13	2.02			
244	-0.3	0.5	29.2	-8.06	-5.04	999.95	-7.32	-3.91	1001.97		0.74	1.13	2.02			
245	-0.3	0.5	29.2	-8.06	-5.04	999.95	-12.21	-4.15	1001.24		-4.15	0.89	1.29			
246	-0.3	0.5	29.2	-8.09	-5.27	999.95	-4.39	-4.39	1006.61		3.7	0.88	6.66			
247	-0.3	0.5	29.2	-8.1	-5.25	999.95	-4.39	-4.39	1006.61		3.71	0.86	6.66			
248	-0.3	0.5	29.2	-8.1	-5.25	999.95	-11.72	-7.57	1001.97		-3.62	-2.32	2.02			
249	-0.3	0.5	29.2	-8.15	-5.36	999.95	-2.44	-5.62	1004.41		5.71	-0.26	4.46			
250	-0.3	0.5	29.2	-8.15	-5.36	999.95	-2.44	-5.62	1004.41		5.71	-0.26	4.46			
251	-0.3	0.5	29.2	-8.21	-5.33	999.95	-5.86	-5.37	1002.71		2.35	-0.04	2.76			
252	-0.3	0.5	29.2	-8.24	-5.3	999.95	-5.86	-5.37	1002.71		2.38	-0.07	2.76			
253	-0.3	0.5	29.2	-8.24	-5.3	999.95	-8.79	0	1005.15		-0.55	5.3	5.2			
254	-0.3	0.5	29.2	-8.29	-5.32	999.95	-6.59	-7.08	998.31		1.7	-1.76	-1.64			
255	-0.3	0.5	29.2	-8.29	-5.32	999.95	-6.59	-7.08	998.31		1.7	-1.76	-1.64			
256	-0.3	0.5	29.2	-8.29	-5.32	999.95	-10.99	0.98	998.07		-2.7	6.3	-1.88			
257	-0.3	0.5	29.2	-8.25	-5.27	999.95	-6.59	-8.54	1007.1		1.66	-3.27	7.15			
258	-0.3	0.5	29.2	-8.15	-5.2	999.95	-6.59	-8.54	1007.1		1.56	-3.34	7.15			
259	-0.3	0.5	29.2	-8.15	-5.2	999.95	-8.06	-10.99	1002.22		0.09	-5.79	2.27			
260	-0.3	0.5	29.2	-8.09	-5.26	999.95	-6.1	-6.84	1001.24		1.99	-1.58	1.29			
261	-0.3	0.5	29.2	-8.09	-5.26	999.95	-6.1	-6.84	1001.24		1.99	-1.58	1.29			
262	-0.3	0.5	29.2	-8.11	-5.29	999.95	-5.86	-5.62	1001.73		2.25	-0.33	1.78			
263	-0.3	0.5	29.2	-8.11	-5.29	999.95	-5.86	-5.62	1001.73		2.25	-0.33	1.78			
264	-0.3	0.5	29.2	-8.27	-5.28	999.95	-5.37	-6.1	1001.73		2.9	-0.82	1.78			
265	-0.3	0.5	29.3	-8.31	-5.3	999.95	-9.03	-6.59	1003.68		-0.72	-1.29	3.73			
266	-0.3	0.5	29.3	-8.31	-5.3	999.95	-9.03	-6.59	1003.68		-0.72	-1.29	3.73			
267	-0.3	0.5	29.3	-8.31	-5.3	999.95	-2.69	-5.37	1002.46		5.62	-0.07	2.51			
268	-0.3	0.5	29.3	-8.33	-5.38	999.95	-9.28	-3.91	1000.75		-0.95	1.47	0.8			
269	-0.3	0.5	29.3	-8.33	-5.38	999.95	-9.28	-3.91	1000.75		-0.95	1.47	0.8			
270	-0.3	0.5	29.3	-8.32	-5.45	999.95	-2.93	-2.44	1005.39		5.39	3.01	5.44			
271	-0.3	0.5	29.2	-8.41	-5.42	999.95	-2.93	-2.44	1005.39		5.48	2.98	5.44			
272	-0.3	0.5	29.2	-8.41	-5.42	999.95	-6.35	-4.88	999.04		2.06	0.54	-0.91			
273	-0.3	0.5	29.3	-8.43	-5.43	999.95	-4.15	-1.22	1004.9		4.28	4.21	4.95			
274	-0.3	0.5	29.3	-8.43	-5.43	999.95	-4.15	-1.22	1004.9		4.28	4.21	4.95			
275	-0.3	0.5	29.3	-8.43	-5.43	999.95	-7.08	-7.81	999.04		1.35	-2.38	-0.91			
276	-0.3	0.5	29.2	-8.35	-5.47	999.95	-7.81	-4.64	1005.15		0.54	0.83	5.2			
